text_1,text_2,label,POS dist score
the tribunal shall,the tribunal is required,2.0,-1.0
most indebted,most heavily indebted,3.667,-1.0
and young people,and young persons,4.0,5.328157424926758
and by strengthening,and further strengthening,4.667,-1.0
were not sufficient to,do not suffice to,4.333,-1.0
factor is,success factor,3.0,0.0
respondents noted,respondents indicated,2.333,0.0
- this was,then it was,3.667,-1.0
at the following session .,at the next session .,4.0,0.0
commission endorsed the,committee endorsed the,3.333,4.057036876678467
first nations people,"first nations ,",2.333,0.0
"programs and services ,",program / service,5.0,5.691262245178223
eu 2020 strategy,europe 2020 strategy is,4.0,2.809915542602539
the secretariat of the committee,the secretariat of the commission,3.0,2.0285184383392334
integrate itself,to become integrated,4.0,-1.0
is contrary to,be inconsistent with,4.333,-1.0
who are they,- who the hell is that,3.333,-1.0
languages other,language -rrb-,3.0,3.887458086013794
particular attention is paid,particular attention to,3.333,0.0
are talking about,speak of,4.333,-1.0
is capable of being,is able to,4.0,-1.0
committee at the,commission at its,3.667,4.057036876678467
to be prepared by the,drawn up by the,3.0,-1.0
objectives in terms,objectives are,4.0,0.0
of the general conference,the general assembly was,3.333,5.5497822761535645
the advantages of,the benefit of,4.333,5.662561893463135
dated 30 november 2000,on 30 november 2000,4.667,-1.0
should like to emphasise,wish to emphasise,5.0,-1.0
the adverse effects of,the negative impacts of,2.667,5.350887298583984
was eventually,had subsequently,3.333,-1.0
its concern about the,preoccupation over the,3.333,7.269765853881836
purpose of this project is,aim of this project is,4.333,2.282062530517578
is often difficult,can be hard,1.6669999999999998,-1.0
new government has,"government has ,",3.333,0.0
rates as,rate used,3.667,3.9932334423065186
's list of issues,its list of issues,5.0,0.0
"oh , really .","oh , is that so ?",4.333,-1.0
and assessments,evaluations were,2.333,3.689607858657837
cautioned that,was indicated that,2.333,-1.0
assessment should be,evaluation was,3.333,2.682006359100342
"or indirectly , to",or indirectly involved,4.0,-1.0
also remains,is still in,3.333,-1.0
account of the recommendations,in mind the recommendations,3.667,3.1575675010681152
process to be followed,procedures to be used,3.667,5.169678211212158
japan has,the government of japan has,3.0,0.0
- i see,i 've been seeing,3.0,0.0
like russia,such as russia,4.667,0.0
provided for in section,provided in article,3.0,4.9660468101501465
and will allow,and will enable,4.667,-1.0
results from the,the effects of the,4.667,6.082888126373291
was here,'s been here,3.0,-1.0
refusing to,are unwilling to,3.333,-1.0
- that 's my,is this my,3.0,-1.0
areas of competence,terms of reference,2.333,6.100095748901367
it 's my job .,this is my job .,2.667,0.0
may be able to,may be allowed,3.333,-1.0
", is necessary",there must,4.333,-1.0
's interested in,is interested in,4.333,-1.0
- i 'm telling you,i say to you,3.0,0.0
is n't your,'re not in your,2.333,-1.0
socio-economic rights,economic and social rights,4.333,0.0
by reason of its,by virtue of its,4.667,6.347943305969238
runs contrary to,was contrary to,4.667,-1.0
particular concerns,specific concerns,3.333,0.0
receive benefits,benefits are,3.0,0.0
"hey , you okay",you feeling all right,4.667,5.566019535064697
- this is great,"great , thank you",4.333,-1.0
", in the implementation of the",in implementing its,3.667,-1.0
is hereby replaced by the following,is replaced by the following,4.0,0.0
opportunity is,opportunity today,2.667,0.0
emphasized the need,emphasized the importance,4.667,6.716811656951904
expanded by,an increase by,4.333,-1.0
are necessary,needs to be done,2.333,-1.0
participate actively in the,be actively involved in the,3.333,-1.0
issue of trafficking,trafficking in persons,3.0,5.9058380126953125
are derived from the,arise from the,4.333,-1.0
sincerely hopes,to be hoped,3.333,-1.0
", and in particular those",", particularly regarding",3.0,-1.0
permanent members and,permanent category and the,3.667,6.093208312988281
translates into,are translated into,4.667,-1.0
completely destroyed,was destroyed,4.667,-1.0
changed by,is to amend,3.0,-1.0
basic infrastructure,infrastructure,4.667,0.0
are communicated,- communications,4.0,-1.0
is in here,'re over here,3.667,-1.0
it is quite clear,it is also clear,3.667,-1.0
who was that,- who 's that,2.333,-1.0
may be considered,may be regarded,4.0,-1.0
", especially in the countries",", particularly in countries",3.333,0.0
provided for under paragraph,called for in paragraph,3.667,0.0
"is essential that ,",is critical that,3.333,-1.0
of the board of directors,of the board of the,3.333,0.0
documents issued,documents on,2.667,0.0
also contributed to,has helped to,4.333,-1.0
- i do n't,ls n't,2.667,7.549619674682617
objects of the,of the purposes of the,2.667,5.670164108276367
ethnic communities,ethnic groups,4.0,4.560835838317871
and considers the,are considered to be the,4.333,-1.0
you need,necessary,4.333,-1.0
you are such an idiot,you fool,3.667,-1.0
which was applicable,that can be applied,2.667,-1.0
the trans-european networks,the trans-european transport network,4.333,7.814766883850098
of enhancing the,in fostering the,2.667,-1.0
had died,just died,3.333,-1.0
concerned with,very concerned about,2.333,-1.0
equal conditions,equals,4.667,6.905640602111816
main aim of the,main objectives of the,4.333,6.703588962554932
emphasizes the importance of the,underlines the need for,4.333,12.15850830078125
seriously wounded,were wounded,3.333,-1.0
members of the council,the legislative council,4.0,0.0
the creation of mechanisms,the establishment of mechanisms,4.667,2.2699716091156006
by the way in which,by the manner in which,4.333,6.214541912078857
", i think that 's",i believe this is,4.0,-1.0
and current,and was currently,4.0,-1.0
the obligations of,the commitments contained in,4.0,5.58919620513916
main trading partner,major trading partners,4.0,1.7519246339797974
are considered to be,shall be regarded as,4.333,-1.0
such measures,the relevant measures,3.667,0.0
would be required,may be necessary to,1.3330000000000002,-1.0
commission for human rights and,commission and,3.333,0.0
departments and,"other government departments , and",4.0,0.0
committee took,commission to,3.333,4.057036876678467
used to identify,used to indicate,4.0,-1.0
""" i am","yes , i am",4.0,-1.0
remain very,was still very,2.667,-1.0
"quite clearly ,",it is clearly,3.333,-1.0
delegation is convinced that,delegation firmly believes that,3.0,0.0
i do n't have time,i have n't got time,4.0,0.0
authority is,authorities to,3.667,5.307362079620361
", referring to",refers to the,4.0,-1.0
the task force and,the working group and,4.0,8.666751861572266
shall refuse to,are unwilling to,3.333,-1.0
had indicated that,shown that,4.0,-1.0
"of small and medium-sized enterprises ,",small and medium sized enterprises,4.333,0.0
is there anybody there,is anyone in there,5.0,2.6944546699523926
are quickly,are rapidly,3.333,-1.0
pointed out that,important to point out that,3.667,-1.0
it noted that the,working group noted that the,4.333,-1.0
and organizations,"-rrb- , the organization",2.0,3.6595118045806885
-it 's just,this is just,3.667,-1.0
- where 'd,where the hell did,2.667,-1.0
particulars of the,"for further details ,",2.333,5.834028244018555
quality of her,high quality of its,3.333,0.0
not already,have not yet been,2.667,-1.0
"resources , both human and",of human resources and,4.333,0.0
becomes possible,is still possible,4.0,-1.0
being seriously,seriously considering,4.0,-1.0
it was necessary to,there must be an,4.0,-1.0
selling of,purchase and sale of,4.0,8.466787338256836
few weeks and,week and,3.333,3.2377707958221436
"both categories ,","categories ,",3.667,0.0
", the commission was",", the board did",1.6669999999999998,4.563505172729492
normal conditions of,its normal,4.0,-1.0
're on the right track,are on the right path,3.667,6.103119373321533
intensify our efforts to,strengthen efforts to,4.667,0.0
products exported,", exports",3.333,6.388509750366211
"knew that ,",is recognised that,3.333,-1.0
it is necessary to,it was vital to,3.0,-1.0
natural disasters,disaster reduction,2.667,8.761910438537598
this is awesome !,that 's great !,3.333,-1.0
is an attempt,is now trying,4.333,-1.0
be perceived as,interpreted as,4.0,-1.0
our shared commitment,our common commitment,4.0,0.0
regarding the application of the,on the implementation of the,3.333,5.245262622833252
approximately one million,around one million,4.333,-1.0
accessible to everyone,accessible,4.667,-1.0
is moving forward,going ahead,3.667,-1.0
"about 20,000","around 20,000",3.667,-1.0
and publication,and was published,3.667,-1.0
adopted the draft decision,approved the draft decision,3.333,0.0
is part and parcel of,is one of,3.667,-1.0
been relatively,is very,1.6669999999999998,-1.0
right and obligation to,right and the duty to,3.667,5.783356666564941
"- gentlemen , gentlemen",my lords and gentlemen,3.333,0.0
", i just got",i only got,3.333,0.0
coming back,coming home,3.0,-1.0
", the board had",", the commission has",2.667,4.563505172729492
's fine,is fine,4.667,-1.0
its consideration of this,review of this,2.667,5.752584934234619
"medical doctors ,","for doctors ,",4.0,0.0
", not only at",", not just at",3.667,-1.0
this is something that,this really,2.667,-1.0
see table,tables,4.0,6.2508134841918945
been informed,received information,3.333,-1.0
an area of solidarity,solidarity,2.0,0.0
is permitted to,may be able to,3.667,-1.0
contributing to the,by facilitating the,3.667,-1.0
's recommendations contained in,recommendations included in,4.333,0.0
of the labour,of the population is,1.6669999999999998,6.653911113739014
the assembly also wishes to,the assembly too wishes to,4.333,0.0
co-sponsors on the draft resolution,the sponsors of the draft resolution,3.333,1.9965823888778687
"'s all right ,",", are you all right",3.0,-1.0
be forwarded to the,be transmitted to the,2.667,-1.0
was indicated that,points out that,3.667,-1.0
", especially in the area",", in particular in the areas",4.0,4.103270053863525
united nations membership,member states of the united nations,3.333,3.6031293869018555
never was,i 've never been,3.333,-1.0
it was nevertheless,it nonetheless,4.333,-1.0
"recalled that ,",was indicated that,2.333,-1.0
the specificities of,the characteristics of,4.333,-1.0
""" current",currently working,2.333,-1.0
'm coming back,comes back,3.333,-1.0
recommendation .,policy recommendations .,3.0,7.3186564445495605
allows you to,it enables you to,3.333,-1.0
was in favour of,is also supporting,4.667,-1.0
centres for,regional centres for,2.333,0.0
but it was,"; however , it is",3.333,-1.0
enhance productivity,improve productivity,3.333,0.0
the international criminal tribunal,the appeals tribunal,2.0,5.851996898651123
and stressing the,and underscored the,2.667,-1.0
shall adopt its own rules of,shall adopt its rules of,4.333,0.0
' exports,domestic export,2.667,3.88019061088562
both the united states,from the united states,4.0,0.0
are set out in annex,listed in annex,3.333,0.0
were essential for,is key to,3.667,-1.0
", thereby contributing",", thus providing",4.333,-1.0
- who 's,who are they,3.0,-1.0
so proud of you,really proud of you,4.333,-1.0
are essential to,be necessary for,3.0,-1.0
result of the,outcomes of all the,1.3330000000000002,5.8733391761779785
'm asking you to,ask you to,3.333,-1.0
to continue its endeavours,to continue his efforts,4.667,6.4241251945495605
i hope you 're kidding,you 're kidding,3.333,-1.0
replaced by :,replaced as follows :,4.333,-1.0
which is applicable to,that applied to,4.333,-1.0
2 . demands,. demands,4.0,0.0
i think that 's,i think that is,4.667,0.0
why exactly,why,3.667,-1.0
member states of the eu,members of the european union,4.333,5.727899551391602
what 's happened,what happens,4.333,-1.0
of ministers of,state minister for,2.667,8.09676456451416
is recommending,further recommends,4.0,-1.0
shall be authorized to,shall be permitted to,4.333,-1.0
were required to,are available to,2.667,-1.0
objectives and targets,objectives with,3.0,0.0
are not consistent with,was incompatible with,3.333,-1.0
to strengthen its efforts to,intensify efforts to,3.333,0.0
all aspects of the,all areas of the,4.333,5.507612228393555
play an important role in,play a major role in,3.667,0.0
were involved,to become involved,3.667,-1.0
the rights and liberties of,the rights and freedoms of,4.333,2.269009828567505
been withdrawn and,been removed and,3.667,-1.0
is now complete,is complete,5.0,-1.0
- are you sure ?,"well , yes .",1.6669999999999998,-1.0
"of these issues ,","in these matters ,",4.0,5.183192729949951
it necessary,it needs to be,3.667,-1.0
references in,referred to in,4.0,-1.0
while countering terrorism,when combating terrorism,4.333,0.0
any agreement,the peace agreements,3.333,10.74274730682373
is for that reason that,is exactly why,3.333,-1.0
", and considered",", and considers that",3.333,-1.0
be derived from,be drawn from,4.333,-1.0
outcomes of these,results from these,4.667,5.355480670928955
available online,", which is available",3.333,-1.0
's views .,views .,4.333,0.0
been solved,can be resolved,5.0,-1.0
the european union has,the eu has,4.0,8.134190559387207
of the activities of,on the operations of,2.333,5.8608832359313965
also reiterate,also reaffirmed that,5.0,-1.0
is recognised,also recognized,4.667,-1.0
of course we are,of course i 'm right,3.667,0.0
members of the committee for,member of the board,3.333,3.882477283477783
month ago,months in the,4.333,3.101092576980591
please keep,shall be kept,3.0,-1.0
recommendations :,recommendations for action,2.667,0.0
policy recommendations,specific recommendations,3.0,0.0
specific situations,special situation,4.0,4.039300918579102
was the issue,is the matter,4.667,5.4117512702941895
chairman of the working group,chair of the working group,2.667,3.0045382976531982
here it goes .,there you go .,4.0,-1.0
safeguard security,guarantee the security,2.333,0.0
was often,are most often,4.0,-1.0
million of,millions and millions,4.0,-1.0
", particularly article",", in particular its article",4.333,0.0
", i welcome the",", i am grateful for the",3.333,-1.0
and the aims,and the goals of the,3.667,6.676953315734863
political initiatives,policy initiatives,3.333,0.0
is because,is the reason why,3.0,-1.0
i really hope that,i am hopeful that,4.0,0.0
direction towards,moving towards,3.0,0.0
very concerned,further concerned,4.0,-1.0
and so i,and that is why i,2.333,-1.0
particularly with respect to the,including those relating to the,3.667,-1.0
or workshops,training workshops,4.0,0.0
as a result of,immediately following the adjournment of,2.333,7.468874454498291
is available to,are offered to,2.667,-1.0
field of,is a matter of,2.667,5.516355514526367
", and modernization",and modernization construction,4.333,0.0
is incompatible with,be contrary to,3.333,-1.0
you doing okay,you 're gonna be ok,3.667,-1.0
"aboriginal communities , and",aboriginal and,3.333,-1.0
is a simple one,'s simple,4.333,-1.0
of antimicrobial drugs,of antimicrobials,3.667,-1.0
produced per,produced by,3.0,-1.0
reported that,be pointed out that,2.667,-1.0
assistance provided by the,help from the,3.667,5.571251392364502
"yes , they are .","yeah , that 's right .",4.333,-1.0
members of this council,"legislative council ,",3.0,0.0
should help to,should contribute to,4.667,-1.0
"like france ,","including france ,",3.0,0.0
whether we need to,whether it is necessary to,5.0,-1.0
ca n't believe this is happening,ca n't believe this,3.667,-1.0
of equal opportunity,of equality of opportunity,4.0,0.0
he 's gone,he is gone,3.667,-1.0
advisory committee 's comments,observations of the advisory committee,4.0,2.6135194301605225
discussed at,discussion within,4.333,-1.0
both children,"children """,3.333,0.0
is the situation,'s the situation,4.333,0.0
of this paper is,of this article shall be,2.667,6.04641056060791
are indicated below,included the following,3.667,-1.0
", then click ok",", and click ok",4.667,0.0
a press conference held in,a news conference in,2.333,1.9524261951446533
coming months,the next few months,3.333,0.0
", reported that",", the report said",4.333,-1.0
a set of indicators,a series of indicators,4.667,2.386080503463745
consideration of this item at its,consideration of this matter at its,2.333,2.731315851211548
increase their efforts to,step up their efforts to,4.667,0.0
matters related to,matters relevant to the,4.333,0.0
've heard a lot,heard a lot,3.667,0.0
contribute significantly,made a significant contribution,4.667,4.2474284172058105
was decided to,decides whether to,2.667,-1.0
the importing of,the import of,4.333,6.041940212249756
- this is,"- hey , it 's",3.667,-1.0
achieve the objectives,achieving the goals,5.0,6.764499664306641
this factor,these considerations,2.667,7.350571632385254
i really am,"yes , i do",1.6669999999999998,-1.0
continued to consider,continued its consideration of,3.333,-1.0
did n't i,"do n't you think ,",3.0,-1.0
"had shown that ,",indicated that,3.667,-1.0
international instruments,international human rights instruments,3.667,0.0
are in the,are subject to the,2.667,-1.0
process of selecting,the select,3.667,6.006706237792969
's interesting to see,is interesting to see,4.333,-1.0
shall be in,are currently in,2.0,-1.0
been contributing,significantly contributed,3.0,-1.0
at the national and international levels,", nationally and internationally",4.0,-1.0
have yet been,have ever been,1.6669999999999998,-1.0
i got a gift for you,i got a present for you,5.0,0.0
"no , i am","oh , well , i",3.333,-1.0
shortfalls in,there is a shortage,2.0,6.247429847717285
revenue generation,revenue,4.333,0.0
i wish i knew,i want to know,3.667,4.929332733154297
national non-governmental organizations,the non-governmental organizations,3.667,0.0
the poorest of the poor,the very poor,4.0,-1.0
only half,half,4.0,0.0
confirms that a,confirmed that a,4.333,-1.0
at all levels of,at all stages of the,4.333,6.115513324737549
led by iyad,headed by iyad,2.333,0.0
- we 've got,i think we 've,3.667,-1.0
recommendations issued by the,recommendations contained in the,3.667,0.0
million u.s. dollars of,"million us dollars ,",5.0,0.0
considers that the,is of the opinion that the,3.0,6.386173248291016
listed in paragraph,in accordance with paragraph,2.667,0.0
that 's exactly what i,this is what i,3.333,0.0
", including both",", which included the",2.667,-1.0
be ensured that,assured that,3.0,-1.0
that solution,such a solution,5.0,0.0
explanations of vote,explanation,3.0,7.3142194747924805
is also important,is also imperative,2.667,-1.0
is certain that,expressed his belief that,3.333,-1.0
on the proposed,relating to the proposed programme,3.667,-1.0
unless specified otherwise,unless specifically stated otherwise,4.667,-1.0
its efforts to combat,the area of combating,3.667,6.7309675216674805
considered by the,give consideration to the,4.333,-1.0
an enlarged security,an expanded security,4.0,0.0
are detailed,"for detailed information ,",4.333,-1.0
