,text_1,text_2,label,ROUGE-1 recall,ROUGE-1 precision,ROUGE-1 F,ROUGE-2 recall,ROUGE-2 precision,ROUGE-2 F,ROUGE-L recall,ROUGE-L precision,ROUGE-L F,POS dist score,WMD,1-gram_overlap,BertScore,chrf_score_norm,L2_score
256,ask the secretary-general,requested the secretary- general,3.0,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,0.0,1.21636353935727,3.75,4.8599,3.6997126436781618,3.352629936186585
257,parties to the treaty,the states parties to the treaty,4.0,5.0,3.333333333333333,4.0,5.0,3.0,3.7499999999999996,5.0,3.333333333333333,4.0,0.3441393234944299,0.7210124543390626,4.444444444444445,4.4686,4.719387755102041,1.2060847475522596
258,beginning of the first,start of the first,4.667,3.75,3.75,3.75,3.333333333333333,3.333333333333333,3.333333333333333,3.75,3.75,3.75,1.938495749194605,2.7477102180895527,3.75,4.9948,2.7486910994764395,0.9723665258385134
259,are benefiting from,take advantage of,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.288145770341988,0.0,4.5479,0.5623721881390593,3.5939199134127904
260,"by its president ,",by the chairman,3.333,1.25,1.6666666666666665,1.4285714285714284,0.0,0.0,0.0,1.25,1.6666666666666665,1.4285714285714284,2.1938404346376315,3.1678271649583016,1.6666666666666665,4.3667,0.6578947368421053,1.8928605134159742
261,be necessary for the,was essential for,4.0,1.25,1.6666666666666665,1.4285714285714284,0.0,0.0,0.0,1.25,1.6666666666666665,1.4285714285714284,0.0,2.630898459308601,1.4285714285714284,4.6473,1.0174418604651163,2.0089221011310223
262,that situation,such a situation,3.333,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.3441393234944299,1.2314370396926222,2.0,4.6664,3.347578347578348,2.3868623228310697
263,attention is paid,pay attention to the,4.667,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,0.3441393234944299,2.0737203931314867,1.4285714285714284,4.1672,2.7590090090090094,3.398474619132888
264,add to the,", contributing to the",3.0,3.333333333333333,2.5,2.8571428571428577,2.5,1.6666666666666665,2.0,3.333333333333333,2.5,2.8571428571428577,0.0,3.5506895801225515,3.333333333333333,4.5349,2.6162790697674416,2.546305397993491
265,you 're pretty,you look pretty,5.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,1.8698398945809729,3.333333333333333,4.4741,2.6580459770114944,2.4152632551308195
266,board of directors and the,board and the,3.0,3.0,5.0,3.7499999999999996,1.25,2.5,1.6666666666666665,3.0,5.0,3.7499999999999996,0.3441393234944299,1.5755075346316838,3.75,4.3276,1.9894894894894897,1.8884845432525548
267,resources and,", natural resources and",4.0,5.0,2.5,3.333333333333333,5.0,1.6666666666666665,2.5,5.0,2.5,3.333333333333333,0.3441393234944299,1.6279230362764936,4.0,4.2406,4.565217391304348,2.3365267466899806
268,and the suggestions,and propositions,4.333,1.6666666666666665,2.5,2.0,0.0,0.0,0.0,1.6666666666666665,2.5,2.0,2.1722967739564,2.6081041052321976,2.0,4.5528,1.337448559670782,2.1283901071194733
269,am in favour of,expressed support for,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.333469480320005,4.4141349327155615,0.0,4.5003,0.5089058524173028,3.5112155360994857
270,"no , we wo n't","no , he does n't",2.333,3.0,3.0,3.0,1.25,1.25,1.25,3.0,3.0,3.0,0.0,2.082439628251086,3.0,4.6899,2.065527065527065,1.295851732211191
271,grown increasingly,becoming ever more,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.577765724356934,0.0,4.4579,0.6989247311827957,4.46786722689569
272,sbi decided to,sbi agreed to,4.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.3441393234944299,2.0398529197454285,3.333333333333333,4.7839,1.9005847953216373,1.5293449111467958
273,are attending,participate in the,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3294823086199035,0.0,4.4402,1.136363636363636,3.1051035165647054
274,which was indispensable,which was vital,3.333,3.333333333333333,3.333333333333333,3.333333333333333,2.5,2.5,2.5,3.333333333333333,3.333333333333333,3.333333333333333,0.0,2.5183414302879257,3.333333333333333,4.8356,2.0304568527918785,0.8397869761073063
275,of not less than 3,of not less than three,4.0,4.0,4.0,4.000000000000001,3.75,3.75,3.75,4.0,4.0,4.000000000000001,0.0,1.359306079772715,4.0,4.8938,4.559748427672956,0.6005345699952864
276,of russia 's,of russia,4.667,3.333333333333333,5.0,4.0,2.5,5.0,3.333333333333333,3.333333333333333,5.0,4.0,0.3441393234944299,1.0925282771175395,4.0,4.6729,3.532608695652174,1.597649041251053
277,would help to,is instrumental in,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.660972017008357,0.0,4.4713,0.4545454545454546,3.501184854674401
278,this is not a toy,it 's not a toy,5.0,3.0,3.0,3.0,2.5,2.5,2.5,3.0,3.0,3.0,0.3441393234944299,1.4062759925923156,3.0,4.7874,3.1468531468531467,1.199282229172358
279,scared to death,really scared,3.667,1.6666666666666665,2.5,2.0,0.0,0.0,0.0,1.6666666666666665,2.5,2.0,0.0,2.2835634396859916,2.0,4.2262,1.6937669376693767,3.335587882451529
280,have an opportunity,were given the opportunity,3.667,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,0.3441393234944299,1.8091379213870724,1.4285714285714284,4.54,3.1492248062015515,2.4038374863806866
281,shall be defined by,are established by,3.667,1.25,1.6666666666666665,1.4285714285714284,0.0,0.0,0.0,1.25,1.6666666666666665,1.4285714285714284,0.0,1.4844595371609928,1.4285714285714284,4.4335,1.321138211382114,3.1508008987834977
282,require for,needed to be,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.318007632557537,0.0,4.3488,0.3875968992248063,3.2694406050288434
283,is ensuring that,is to guarantee that,4.333,3.333333333333333,2.5,2.8571428571428577,0.0,0.0,0.0,3.333333333333333,2.5,2.8571428571428577,0.0,1.9662256991388631,2.8571428571428568,4.5667,1.5587529976019183,1.8194083296248718
284,there is still,there may be,3.333,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,3.819292537449873,1.6666666666666665,4.414,1.6224188790560472,2.0989112821772253
285,risen significantly,increased substantially,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0753166321819196,0.0,4.8671,0.9861932938856016,2.8317941326455505
286,is of vital importance that,is necessary that,3.0,2.0,3.333333333333333,2.5,0.0,0.0,0.0,2.0,3.333333333333333,2.5,0.0,2.594807327374219,2.5,4.369,0.9574468085106382,2.614045586906673
287,of participating,of engaging in,3.667,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.0,3.0590889756893778,2.0,4.4519,0.8771929824561403,2.5396455549559356
288,it has become a,has now become a,4.333,3.75,3.75,3.75,1.6666666666666665,1.6666666666666665,1.6666666666666665,3.75,3.75,3.75,0.0,1.4855697528614962,3.75,4.8199,3.2407407407407405,1.345380712339558
289,has reviewed and considered,considered by,4.667,1.25,2.5,1.6666666666666665,0.0,0.0,0.0,1.25,2.5,1.6666666666666665,0.0,1.7607347115144845,1.6666666666666665,4.135,1.7316017316017311,3.103268306051418
290,is primarily due to,is largely due to,4.667,3.75,3.75,3.75,1.6666666666666665,1.6666666666666665,1.6666666666666665,3.75,3.75,3.75,0.0,1.9544032804890343,3.75,4.9067,2.4539877300613493,0.7965237917804593
291,", with special emphasis",", including , in particular",2.667,1.25,1.0,1.1111111111111112,0.0,0.0,0.0,1.25,1.0,1.1111111111111112,0.0,3.3942544734885467,0.0,4.2253,0.5582137161084529,2.535865547880875
292,targeted,well targeted,4.333,5.0,2.5,3.333333333333333,0.0,0.0,0.0,5.0,2.5,3.333333333333333,0.0,1.5458715841530546,3.333333333333333,4.4895,4.583333333333333,3.8570338810352722
293,intensive debate,intense debate,3.333,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.3441393234944299,0.9032334441267816,2.5,4.9956,3.3834586466165413,2.3298825588022103
294,indicated that they,indicates that he,3.667,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.9639124164203112,1.6666666666666665,4.8956,2.9141104294478524,1.2525116953308602
295,countries members of the,countries in the,3.333,2.5,3.333333333333333,2.8571428571428577,0.0,0.0,0.0,2.5,3.333333333333333,2.8571428571428577,0.3441393234944299,1.9395147580791487,2.8571428571428568,4.4988,2.2141706924315616,1.9482877491248016
296,it was a party to,is a state party to,3.333,3.0,3.0,3.0,1.25,1.25,1.25,3.0,3.0,3.0,0.3441393234944299,1.0931099127413366,3.0,4.4398,2.9478458049886633,1.9171130089224566
297,"now , however ,","there is , however ,",2.333,3.75,3.0,3.3333333333333326,3.333333333333333,2.5,2.8571428571428577,3.75,3.0,3.3333333333333326,0.0,2.192184415045478,2.0,4.724,3.6538461538461537,2.2394644622318176
298,very crucial,very critical,5.0,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.0,0.8567539741695319,2.5,4.7753,2.7777777777777777,1.2089103241887986
299,took place during,had taken place in,4.333,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,0.3441393234944299,2.104405922790016,1.4285714285714284,4.7163,1.883561643835616,1.5337545043023644
300,almost 25 per cent,nearly 25 per cent,5.0,3.75,3.75,3.75,3.333333333333333,3.333333333333333,3.333333333333333,3.75,3.75,3.75,0.3441393234944299,1.6837153360861368,3.75,4.9991,3.172043010752688,0.0742916911982568
301,is crucial that,is vitally important for,2.667,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,0.0,2.7477449587447933,1.4285714285714284,4.5482,0.9328358208955224,1.9452872973492006
302,council members held,the members of the council welcomed,3.333,3.333333333333333,1.6666666666666665,2.2222222222222223,0.0,0.0,0.0,1.6666666666666665,0.8333333333333333,1.1111111111111112,0.3441393234944299,1.36757424799341,2.5,4.4977,3.3771929824561404,2.8921870751261283
303,showed that it,demonstrated that it,4.0,3.333333333333333,3.333333333333333,3.333333333333333,2.5,2.5,2.5,3.333333333333333,3.333333333333333,3.333333333333333,0.0,1.7573304516080894,3.333333333333333,4.9948,3.2369146005509646,1.5376320002647144
304,"- yeah , that 's it","- yes , he did",3.333,1.6666666666666665,2.0,1.818181818181818,0.0,0.0,0.0,1.6666666666666665,2.0,1.818181818181818,1.1030474060635023,3.18387350399657,0.0,4.5877,1.0937500000000002,1.795946597081898
305,equal treatment of men and,equality between men and,3.333,2.0,2.5,2.2222222222222223,1.25,1.6666666666666665,1.4285714285714284,2.0,2.5,2.2222222222222223,1.5657494768542466,1.6959482518448248,2.2222222222222223,4.4788,1.9670958512160233,2.514515481564415
306,'m wondering,wonder,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.65281399280338,0.0,4.0055,1.9662921348314608,4.251185366135259
307,", i wish to begin",", i should like to begin",4.667,4.0,3.333333333333333,3.636363636363636,2.5,2.0,2.2222222222222223,4.0,3.333333333333333,3.636363636363636,0.0,1.9386638973569688,3.333333333333333,4.7898,2.9057017543859653,1.2986013457913932
308,has been actively engaged in,has been active in,3.0,3.0,3.75,3.3333333333333326,1.25,1.6666666666666665,1.4285714285714284,3.0,3.75,3.3333333333333326,0.0,1.4465831408304692,3.333333333333333,4.7747,2.7551020408163263,1.4706302718828086
309,participating in,are invited to participate in the,2.333,2.5,0.8333333333333333,1.25,0.0,0.0,0.0,2.5,0.8333333333333333,1.25,0.0,2.2785623054794346,1.25,4.2464,2.9605263157894735,2.565536326307403
310,is vitally important,is imperative,3.333,1.6666666666666665,2.5,2.0,0.0,0.0,0.0,1.6666666666666665,2.5,2.0,0.0,2.4337212642652157,2.0,4.5323,0.9920634920634921,2.9284856746929258
311,correspondents and,reporter and,2.333,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,2.6770390541104687,1.8251209341890815,2.5,4.5502,1.1185682326621924,2.988099061874044
312,reporting guidelines,""" guidelines",4.333,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.3441393234944299,1.841443767745532,3.333333333333333,4.9868,2.5449101796407185,3.6157154399003693
313,really were,'re really,1.6669999999999998,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.0,1.3528093296343726,2.5,4.1163,2.4801587301587302,2.104237591092291
314,are fairly,are relatively more,2.0,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.0,2.52034161968499,2.0,4.5051,1.5873015873015872,1.9640752560840051
315,of basic rights,"for fundamental rights ,",4.667,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,0.3441393234944299,2.6632929719782252,1.6666666666666665,4.6644,1.927860696517413,2.6129721417499097
316,", the panel found",", the committee found",3.667,3.75,3.75,3.75,1.6666666666666665,1.6666666666666665,1.6666666666666665,3.75,3.75,3.75,1.8800054940150028,2.4158224190937045,3.333333333333333,4.8864,2.404921700223713,0.8704527460422492
317,of contacts between new,of the relationship between the,3.667,2.5,2.0,2.2222222222222223,0.0,0.0,0.0,2.5,2.0,2.2222222222222223,2.908222216825208,1.9333246702432247,2.5,4.5226,2.0735524256651017,1.9860163043048016
318,is crucial to,would be important to,4.0,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,0.0,3.318994969338229,1.4285714285714284,4.6696,0.8849557522123892,1.5918806522540259
319,significantly increased,much more significant,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8624636561780399,0.0,4.4875,2.2988505747126435,3.3578427452657182
320,and the next day,"the following day ,",4.667,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.3441393234944299,3.4461262078829837,2.8571428571428568,4.5829,1.328502415458937,1.9495003116353253
321,what were your intentions,"why , what 's the matter",2.667,1.25,0.8333333333333333,1.0,0.0,0.0,0.0,1.25,0.8333333333333333,1.0,2.4307718008029005,2.9735653130082524,1.1111111111111112,4.0961,1.0788690476190474,2.4392337800417656
322,of the opinion that,are of the view that,5.0,3.75,3.0,3.3333333333333326,1.6666666666666665,1.25,1.4285714285714284,3.75,3.0,3.3333333333333326,2.314482308877856,2.24817729498291,3.333333333333333,4.6176,2.2590361445783134,1.963915502396439
323,their member states,their members,2.333,1.6666666666666665,2.5,2.0,0.0,0.0,0.0,1.6666666666666665,2.5,2.0,2.2303841675221667,1.2187862275390908,2.0,4.5656,3.0398322851153035,1.9712511853661352
324,an increase of almost,an increase of nearly,3.667,3.75,3.75,3.75,3.333333333333333,3.333333333333333,3.333333333333333,3.75,3.75,3.75,0.3441393234944299,1.403100579974051,3.75,4.9511,3.468468468468468,0.0
325,is a major component,are an important part,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5719117006109715,2.3874120635086182,0.0,4.6527,0.9469696969696972,2.364877155551792
326,are certainly,have actually,4.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6243335361840296,0.0,4.3751,0.7936507936507936,3.3303683131940796
327,", the council is",", the council extended",3.0,3.75,3.75,3.75,3.333333333333333,3.333333333333333,3.333333333333333,3.75,3.75,3.75,0.3441393234944299,2.3017874919352868,3.333333333333333,4.646,4.078014184397164,1.1360903949696446
328,", this is a",this represents an,4.333,1.25,1.6666666666666665,1.4285714285714284,0.0,0.0,0.0,1.25,1.6666666666666665,1.4285714285714284,0.0,3.513892261452675,1.6666666666666665,4.2243,1.902173913043478,2.653224734033682
329,", resulting from the",derived from the,3.667,2.5,3.333333333333333,2.8571428571428577,1.6666666666666665,2.5,2.0,2.5,3.333333333333333,2.8571428571428577,0.0,2.6358435048191264,3.333333333333333,4.3863,2.046783625730994,2.546704248514117
330,"so , what is it ?",what 's all this ?,4.333,1.6666666666666665,2.0,1.818181818181818,0.0,0.0,0.0,1.6666666666666665,2.0,1.818181818181818,0.0,2.227240302349394,1.25,4.3182,1.541095890410959,2.0152482048390956
331,levels in,level -lrb-,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.893608432295619,3.000644292111063,0.0,4.142,1.9900497512437807,3.9971399998238795
332,presented in,was reported in,4.333,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.0,1.8027918636372882,2.0,4.4692,2.2108843537414966,3.2172765785527826
333,council was,"security council ,",3.333,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.3441393234944299,2.3753281504325874,2.5,4.3345,3.079710144927536,3.315915407753942
334,opportunity to present,the possibility of submitting,3.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.190237653891496,3.0487816735230315,0.0,4.3542,0.9488448844884491,3.1266332613048196
335,is absolutely,is all very,2.667,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.0,2.3562019820557065,2.0,4.3739,1.1326860841423947,2.8759658493581433
336,becoming members,become part,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1522283580443675,2.487467883594521,0.0,4.4654,1.2179487179487178,3.25928432660663
337,", it is required to",there is a need to,4.0,2.0,2.0,2.0000000000000004,0.0,0.0,0.0,2.0,2.0,2.0000000000000004,0.0,2.6170022598807776,2.2222222222222223,4.4963,1.5243902439024388,2.2152181932053625
338,reminded the public,reminds members of the public that,3.333,3.333333333333333,1.6666666666666665,2.2222222222222223,2.5,1.0,1.4285714285714284,3.333333333333333,1.6666666666666665,2.2222222222222223,0.3441393234944299,1.7561696713862094,2.2222222222222223,4.4445,3.379629629629629,2.2087330474074407
339,and i am happy to,", and i am glad",3.333,3.0,3.0,3.0,2.5,2.5,2.5,3.0,3.0,3.0,0.0,3.0773040874634283,3.333333333333333,4.4543,2.3892773892773893,1.3900112316804727
340,offence was committed,"criminal offence ,",1.3330000000000002,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.3441393234944299,2.4290148199017776,2.0,4.2506,1.7857142857142856,3.024967295413655
341,to include in,be contained in,3.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,0.0,0.0,1.6666666666666665,1.6666666666666665,1.6666666666666665,0.0,1.6817675274222816,1.6666666666666665,4.5806,1.2461059190031154,2.8313145157839936
342,counsel recalls that,""" the security council recalls that",3.667,3.333333333333333,1.6666666666666665,2.2222222222222223,2.5,1.0,1.4285714285714284,3.333333333333333,1.6666666666666665,2.2222222222222223,4.384025412937257,1.34170737427929,2.5,4.5893,3.5964912280701755,2.7587336833979004
343,the results of such,results of this,3.333,2.5,3.333333333333333,2.8571428571428577,1.6666666666666665,2.5,2.0,2.5,3.333333333333333,2.8571428571428577,0.3441393234944299,1.2039998066898825,2.8571428571428568,4.3475,2.8467908902691508,1.6557917338496448
344,- is it,"- hey , it",3.333,3.333333333333333,2.5,2.8571428571428577,0.0,0.0,0.0,3.333333333333333,2.5,2.8571428571428577,0.0,4.191300918380792,2.5,4.3249,1.5625,2.3302835441159897
345,reaffirms that the,reaffirming that the,3.667,3.333333333333333,3.333333333333333,3.333333333333333,2.5,2.5,2.5,3.333333333333333,3.333333333333333,3.333333333333333,0.0,1.0313574165273791,3.333333333333333,4.842,3.821656050955413,0.9941236260493509
346,n't eaten anything,n't eaten,3.667,3.333333333333333,5.0,4.0,2.5,5.0,3.333333333333333,3.333333333333333,5.0,4.0,0.0,1.8263952836227413,4.285714285714286,4.6775,2.2260273972602738,2.0300814592592076
347,why did n't you say something,why do you want to,3.0,1.6666666666666665,2.0,1.818181818181818,0.0,0.0,0.0,1.6666666666666665,2.0,1.818181818181818,0.0,2.3952448531396278,1.6666666666666665,4.2396,1.2139107611548554,2.1162162712688777
348,first six months,first six months of this year,4.0,5.0,2.5,3.333333333333333,5.0,2.0,2.8571428571428577,5.0,2.5,3.333333333333333,0.3441393234944299,1.1985667040134371,3.333333333333333,4.4503,4.560810810810811,2.0836153113413465
349,in the circumstances,under the circumstances,4.667,3.333333333333333,3.333333333333333,3.333333333333333,2.5,2.5,2.5,3.333333333333333,3.333333333333333,3.333333333333333,0.3441393234944299,0.8896167496816882,3.333333333333333,4.5939,4.400749063670412,2.239260055787482
350,parliament needs to,this house must,2.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9676727759413346,3.4270606458845085,0.0,4.4238,0.5175983436853002,3.9792920616738185
351,appreciates the efforts,appreciated the efforts,4.667,3.333333333333333,3.333333333333333,3.333333333333333,2.5,2.5,2.5,3.333333333333333,3.333333333333333,3.333333333333333,0.3441393234944299,0.30871380067396964,3.333333333333333,4.6306,4.146341463414633,0.848700271216575
352,the protection provided for in this,the protection provided under this,5.0,3.333333333333333,4.0,3.636363636363636,2.0,2.5,2.2222222222222223,3.333333333333333,4.0,3.636363636363636,0.3441393234944299,0.4963777607455082,3.6363636363636367,4.7887,3.780864197530864,1.3590405421236051
353,program objectives,the program 's objectives,3.667,5.0,2.5,3.333333333333333,0.0,0.0,0.0,5.0,2.5,3.333333333333333,0.3441393234944299,1.1239471861092298,3.333333333333333,4.5898,4.269547325102881,2.238366111154943
354,"yeah , he does","of course , yeah",2.667,2.5,2.5,2.5,0.0,0.0,0.0,1.25,1.25,1.25,0.3441393234944299,2.2997202513124715,1.6666666666666665,4.3599,1.495726495726496,2.61117108792706
355,their decision,their own decisions,3.667,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,1.7824867277200296,1.1124355120727956,2.0,4.5901,4.097222222222221,2.384985128052454
356,my fear is that,my concern is that,4.0,3.75,3.75,3.75,1.6666666666666665,1.6666666666666665,1.6666666666666665,3.75,3.75,3.75,2.213294466076263,2.0769625115533623,3.75,4.8823,2.669270833333333,1.238556374594645
357,achieving sustainable,sustainable management,4.0,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.0,1.820605901281816,2.5,4.4042,2.508960573476702,4.248032276649268
358,who maintain,who are in,4.0,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.0,2.3347737362089025,2.0,4.3901,1.254480286738351,2.478321486862083
359,"- yeah , this is","- yeah , he 's",3.333,3.0,3.0,3.0,2.5,2.5,2.5,3.0,3.0,3.0,0.3441393234944299,2.258905884567481,1.6666666666666665,4.7219,2.631578947368421,0.9981196030316554
360,a huge opportunity,a great opportunity,4.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.3441393234944299,1.0765278297673673,3.333333333333333,4.8218,3.3119658119658117,1.4966624732806175
361,and detailed,detailed description,2.667,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.0,2.088205632345132,2.5,4.4688,3.3171521035598706,3.562648751719732
362,and that is exactly,and precisely,3.0,1.25,2.5,1.6666666666666665,0.0,0.0,0.0,1.25,2.5,1.6666666666666665,0.0,2.81596382521082,1.6666666666666665,4.294,0.9433962264150944,2.1772169182001524
363,results of an,the outcome of the,4.0,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,1.9713471035973,3.80843355950055,1.6666666666666665,4.3783,0.984848484848485,2.496390731902269
364,-roger who is this,- who 's that,3.333,1.25,1.25,1.25,0.0,0.0,0.0,1.25,1.25,1.25,0.0,3.1269705969580777,1.4285714285714284,4.2878,1.4444444444444442,2.125780144591319
365,continued for,continues with,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2578491308895248,0.0,4.554,2.672955974842768,2.1460302587360407
366,of aboriginal languages,of indigenous languages,4.0,3.333333333333333,3.333333333333333,3.333333333333333,0.0,0.0,0.0,3.333333333333333,3.333333333333333,3.333333333333333,0.3441393234944299,1.4656492205829268,3.333333333333333,4.9082,2.357723577235772,1.3754773819999753
367,sufficient enough,insufficient,1.6669999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7119431360919737,0.0,4.3591,2.738095238095238,3.5111589640809493
368,is the establishment of,is to set up,3.667,1.25,1.25,1.25,0.0,0.0,0.0,1.25,1.25,1.25,0.0,2.7006538526472967,1.25,4.1501,0.7302405498281785,2.9705820166625942
369,in the development and implementation of,in the elaboration and implementation of,2.333,4.166666666666667,4.166666666666667,4.166666666666667,3.0,3.0,3.0,4.166666666666667,4.166666666666667,4.166666666666667,1.1494350747894946,1.1430504361792686,4.166666666666667,4.8347,3.333333333333333,1.2243164147714525
370,'s very important that,was essential for,4.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1803512772941,0.0,4.1457,0.6140350877192982,2.7102141046317274
371,"no , that 's not true",it is not true,4.333,1.6666666666666665,2.5,2.0,1.0,1.6666666666666665,1.25,1.6666666666666665,2.5,2.0,0.0,2.148835078434045,2.2222222222222223,4.5027,2.247191011235955,1.7745613066784247
372,center was,centre was,4.0,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,1.6742733393896592,0.0,2.5,4.9665,2.4444444444444446,1.2914869697118214
373,may remain,continued to be,3.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.524974784772347,0.0,4.3372,0.5208333333333334,3.1217015333240767
374,customs clearance,customs,2.667,2.5,5.0,3.333333333333333,0.0,0.0,0.0,2.5,5.0,3.333333333333333,0.3441393234944299,2.8826203754702004,3.333333333333333,4.3379,1.666666666666667,3.1903241034068897
375,it is crucial that,it is also essential,3.0,2.5,2.5,2.5,1.6666666666666665,1.6666666666666665,1.6666666666666665,2.5,2.5,2.5,0.0,2.8307679462318487,2.5,4.4855,1.592356687898089,1.4213569332344331
376,i am scared,i 'm so scared,4.667,3.333333333333333,2.5,2.8571428571428577,0.0,0.0,0.0,3.333333333333333,2.5,2.8571428571428577,0.3441393234944299,1.6860184179735724,2.8571428571428568,4.6297,3.125,1.3619424376153397
377,assistance payments,assistance to,3.0,2.5,2.5,2.5,0.0,0.0,0.0,2.5,2.5,2.5,0.3441393234944299,1.4314833417994457,2.5,4.3534,2.725366876310273,3.135324715825675
378,but i am,"well , i 've",3.333,1.6666666666666665,1.25,1.4285714285714284,0.0,0.0,0.0,1.6666666666666665,1.25,1.4285714285714284,0.3441393234944299,6.070171626605459,1.6666666666666665,4.4062,0.8474576271186441,2.516558122812338
379,get involved,had been involved,3.667,2.5,1.6666666666666665,2.0,0.0,0.0,0.0,2.5,1.6666666666666665,2.0,0.0,1.9450283655372933,2.0,4.6148,3.333333333333334,3.021924859372725
380,considered and adopted,discussed and adopted,4.0,3.333333333333333,3.333333333333333,3.333333333333333,2.5,2.5,2.5,3.333333333333333,3.333333333333333,3.333333333333333,0.0,1.2056736578853675,3.333333333333333,4.9936,3.13573883161512,1.9264004265316717
